time (UTC),temp (degC),qc_temp,do (mg/L),qc_do,salinity (ppt),qc_salinity
6/1/2023 0:05,11.98,0,9.407,0,29.994,0
6/1/2023 0:10,12.0065,0,9.54,0,30.0127,0
6/1/2023 0:15,12.0101,0,9.737,0,30.0652,0
6/1/2023 0:20,12.016,0,9.983,0,30.1124,0
6/1/2023 0:25,12.08,0,10.173,0,30.1041,0
6/1/2023 0:30,11.9883,0,10.282,0,30.1341,0
6/1/2023 0:35,11.9608,0,10.374,0,30.1137,0
6/1/2023 0:40,11.953,0,10.378,0,30.1113,0
6/1/2023 0:45,11.8539,0,10.357,0,30.1886,0
6/1/2023 0:50,11.9049,0,10.352,0,30.1282,0
6/1/2023 0:55,11.9189,0,10.352,0,30.1203,0
6/1/2023 1:00,11.836,0,10.326,0,30.1864,0
6/1/2023 1:05,11.8307,0,10.318,0,30.0795,0
6/1/2023 1:10,11.8047,0,10.278,0,30.0998,0
6/1/2023 1:15,11.8469,0,10.263,0,30.0455,0
6/1/2023 1:20,11.9079,0,10.236,0,30.0475,0
6/1/2023 1:25,11.8878,0,10.199,0,30.0628,0
6/1/2023 1:30,11.8943,0,10.168,0,30.0607,0
6/1/2023 1:35,11.9167,0,10.127,0,30.0802,0
6/1/2023 1:40,11.9338,0,10.076,0,30.0919,0
6/1/2023 1:45,11.9461,0,9.991,0,30.0979,0
6/1/2023 1:50,11.9295,0,9.9,0,30.1101,0
6/1/2023 1:55,11.945,0,9.733,0,30.1186,0
6/1/2023 2:00,11.9707,0,9.542,0,30.121,0
6/1/2023 2:05,11.9869,0,9.506,0,30.1423,0
6/1/2023 2:10,11.9899,0,9.658,0,30.1937,0
6/1/2023 2:15,11.9828,0,9.902,0,30.2255,0
6/1/2023 2:20,11.9887,0,10.149,0,30.2607,0
6/1/2023 2:25,11.973,0,10.393,0,30.2868,0
6/1/2023 2:30,11.9677,0,10.571,0,30.2848,0
6/1/2023 2:35,11.8696,0,10.66,0,30.3029,0
6/1/2023 2:40,11.8362,0,10.727,0,30.3066,0
6/1/2023 2:45,11.8266,0,10.761,0,30.3319,0
6/1/2023 2:50,11.8682,0,10.792,0,30.3266,0
6/1/2023 2:55,12.0562,0,10.8,0,30.3143,0
6/1/2023 3:00,12.082,0,10.797,0,30.3748,0
6/1/2023 3:05,12.1404,0,10.829,0,30.4063,0
6/1/2023 3:10,12.0902,0,10.887,0,30.4369,0
6/1/2023 3:15,12.0824,0,10.867,0,30.4288,0
6/1/2023 3:20,12.0171,0,10.84,0,30.4374,0
6/1/2023 3:25,12.0005,0,10.81,0,30.4249,0
6/1/2023 3:30,11.976,0,10.763,0,30.4201,0
6/1/2023 3:35,11.9715,0,10.761,0,30.4174,0
6/1/2023 3:40,11.967,0,10.827,0,30.4211,0
6/1/2023 3:45,11.8791,0,10.946,0,30.4369,0
6/1/2023 3:50,11.8458,0,11.094,0,30.3885,0
6/1/2023 3:55,11.8084,0,11.21,0,30.3453,0
6/1/2023 4:00,11.801,0,11.286,0,30.2703,0
6/1/2023 4:05,11.735,0,11.278,0,30.2754,0
6/1/2023 4:10,11.7124,0,11.207,0,30.2391,0
6/1/2023 4:15,11.6312,0,11.132,0,30.218,0
6/1/2023 4:20,11.5391,0,10.965,0,30.1839,0
6/1/2023 4:25,11.4865,0,10.823,0,30.1864,0
6/1/2023 4:30,11.4957,0,10.697,0,30.1445,0
6/1/2023 4:35,11.4483,0,10.585,0,30.1481,0
6/1/2023 4:40,11.4265,0,10.472,0,30.1383,0
6/1/2023 4:45,11.4639,0,10.377,0,30.1316,0
6/1/2023 4:50,11.4221,0,10.334,0,30.1813,0
6/1/2023 4:55,11.3672,0,10.284,0,30.1527,0
6/1/2023 5:00,11.3562,0,10.227,0,30.1233,0
6/1/2023 5:05,11.3394,0,10.115,0,30.1108,0
6/1/2023 5:10,11.3366,0,10.055,0,30.088,0
6/1/2023 5:15,11.3663,0,10.014,0,30.0787,0
6/1/2023 5:20,11.3434,0,9.98,0,30.107,0
6/1/2023 5:25,11.3434,0,9.961,0,30.1058,0
6/1/2023 5:30,11.3361,0,9.948,0,30.1063,0
6/1/2023 5:35,11.3401,0,9.92,0,30.1018,0
6/1/2023 5:40,11.328,0,9.906,0,30.1065,0
6/1/2023 5:45,11.3184,0,9.897,0,30.1043,0
6/1/2023 5:50,11.2939,0,9.863,0,30.1019,0
6/1/2023 5:55,11.2828,0,9.851,0,30.0845,0
6/1/2023 6:00,11.268,0,9.821,0,30.065,0
6/1/2023 6:05,11.282,0,9.801,0,30.0703,0
6/1/2023 6:10,11.2607,0,9.791,0,30.0792,0
6/1/2023 6:15,11.2799,0,9.775,0,30.0714,0
6/1/2023 6:20,11.2585,0,9.76,0,30.0819,0
6/1/2023 6:25,11.2621,0,9.744,0,30.0751,0
6/1/2023 6:30,11.2586,0,9.718,0,30.0712,0
6/1/2023 6:35,11.2627,0,9.694,0,30.07,0
6/1/2023 6:40,11.2471,0,9.688,0,30.0837,0
6/1/2023 6:45,11.2318,0,9.679,0,30.0846,0
6/1/2023 6:50,11.2281,0,9.65,0,30.0771,0
6/1/2023 6:55,11.2167,0,9.613,0,30.075,0
6/1/2023 7:00,11.218,0,9.591,0,30.0652,0
6/1/2023 7:05,11.2269,0,9.549,0,30.0556,0
6/1/2023 7:10,11.2238,0,9.548,0,30.0561,0
6/1/2023 7:15,11.229,0,9.534,0,30.0563,0
6/1/2023 7:20,11.2331,0,9.533,0,30.057,0
6/1/2023 7:25,11.2333,0,9.531,0,30.0567,0
6/1/2023 7:30,11.2321,0,9.512,0,30.0588,0
6/1/2023 7:35,11.231,0,9.515,0,30.0579,0
6/1/2023 7:40,11.2249,0,9.496,0,30.0608,0
6/1/2023 7:45,11.2249,0,9.475,0,30.0621,0
6/1/2023 7:50,11.2297,0,9.456,0,30.0591,0
6/1/2023 7:55,11.2281,0,9.451,0,30.06,0
6/1/2023 8:00,11.2235,0,9.442,0,30.0616,0
6/1/2023 8:05,11.2165,0,9.419,0,30.0609,0
6/1/2023 8:10,11.2169,0,9.414,0,30.0591,0
6/1/2023 8:15,11.2154,0,9.413,0,30.0568,0
6/1/2023 8:20,11.2168,0,9.414,0,30.0608,0
6/1/2023 8:25,11.2173,0,9.385,0,30.0591,0
6/1/2023 8:30,11.2122,0,9.358,0,30.0595,0
6/1/2023 8:35,11.2202,0,9.315,0,30.0539,0
6/1/2023 8:40,11.2201,0,9.273,0,30.0593,0
6/1/2023 8:45,11.2547,0,9.255,0,30.0232,0
6/1/2023 8:50,11.2828,0,9.293,0,30.0296,0
6/1/2023 8:55,11.2456,0,9.341,0,30.0718,0
6/1/2023 9:00,11.2394,0,9.375,0,30.0479,0
6/1/2023 9:05,11.2281,0,9.387,0,30.0563,0
6/1/2023 9:10,11.2424,0,9.446,0,30.0454,0
6/1/2023 9:15,11.2294,0,9.511,0,30.0629,0
6/1/2023 9:20,11.2212,0,9.548,0,30.0801,0
6/1/2023 9:25,11.1974,0,9.555,0,30.0726,0
6/1/2023 9:30,11.2381,0,9.533,0,30.0978,0
6/1/2023 9:35,11.2836,0,9.512,0,30.1431,0
6/1/2023 9:40,11.3264,0,9.511,0,30.2012,0
6/1/2023 9:45,11.323,0,9.54,0,30.2182,0
6/1/2023 9:50,11.3228,0,9.565,0,30.2195,0
6/1/2023 9:55,11.3328,0,9.567,0,30.2123,0
6/1/2023 10:00,11.3489,0,9.565,0,30.1583,0
6/1/2023 10:05,11.4153,0,9.55,0,30.1705,0
6/1/2023 10:10,11.5537,0,9.527,0,30.1841,0
6/1/2023 10:15,11.6452,0,9.497,0,30.2669,0
6/1/2023 10:20,11.6205,0,9.506,0,30.2533,0
6/1/2023 10:25,11.6403,0,9.583,0,30.2213,0
6/1/2023 10:30,11.6273,0,9.618,0,30.3272,0
6/1/2023 10:35,11.8372,0,9.651,0,30.1969,0
6/1/2023 10:40,11.8717,0,9.658,0,30.4118,0
6/1/2023 10:45,11.8354,0,9.706,0,30.4756,0
6/1/2023 10:50,11.8763,0,9.829,0,30.4367,0
6/1/2023 10:55,11.8281,0,10.029,0,30.4846,0
6/1/2023 11:00,11.8329,0,10.186,0,30.4493,0
6/1/2023 11:05,11.7895,0,10.281,0,30.4553,0
6/1/2023 11:10,11.755,0,10.332,0,30.4664,0
6/1/2023 11:15,11.755,0,10.352,0,30.4766,0
6/1/2023 11:20,11.7131,0,10.378,0,30.5316,0
6/1/2023 11:25,11.736,0,10.386,0,30.5108,0
6/1/2023 11:30,11.7262,0,10.369,0,30.496,0
6/1/2023 11:35,11.7094,0,10.337,0,30.4751,0
6/1/2023 11:40,11.7464,0,10.291,0,30.4636,0
6/1/2023 11:45,11.742,0,10.302,0,30.5342,0
6/1/2023 11:50,11.7594,0,10.366,0,30.5018,0
6/1/2023 11:55,11.7624,0,10.397,0,30.5314,0
6/1/2023 12:00,11.7565,0,10.486,0,30.5172,0
6/1/2023 12:05,11.7908,0,10.506,0,30.4984,0
6/1/2023 12:10,11.807,0,10.524,0,30.5292,0
6/1/2023 12:15,11.8755,0,10.666,0,30.5228,0
6/1/2023 12:20,11.8278,0,10.802,0,30.5313,0
6/1/2023 12:25,11.8449,0,10.852,0,30.5362,0
6/1/2023 12:30,11.8581,0,10.923,0,30.5224,0
6/1/2023 12:35,11.8666,0,10.961,0,30.55,0
6/1/2023 12:40,11.8595,0,10.985,0,30.5634,0
6/1/2023 12:45,11.8909,0,11.023,0,30.5456,0
6/1/2023 12:50,11.8892,0,11.081,0,30.5804,0
6/1/2023 12:55,11.9116,0,11.141,0,30.5961,0
6/1/2023 13:00,11.9241,0,11.232,0,30.6064,0
6/1/2023 13:05,11.9266,0,11.298,0,30.6012,0
6/1/2023 13:10,11.9373,0,11.342,0,30.5922,0
6/1/2023 13:15,11.9271,0,11.384,0,30.5984,0
6/1/2023 13:20,11.92,0,11.391,0,30.5967,0
6/1/2023 13:25,11.9089,0,11.375,0,30.595,0
6/1/2023 13:30,11.8671,0,11.372,0,30.5823,0
6/1/2023 13:35,11.8896,0,11.365,0,30.5665,0
6/1/2023 13:40,11.8819,0,11.353,0,30.5672,0
6/1/2023 13:45,11.8759,0,11.321,0,30.5722,0
6/1/2023 13:50,11.8718,0,11.285,0,30.5826,0
6/1/2023 13:55,11.8755,0,11.249,0,30.5388,0
6/1/2023 14:00,11.8604,0,11.236,0,30.5643,0
6/1/2023 14:05,11.8655,0,11.229,0,30.5539,0
6/1/2023 14:10,11.8666,0,11.176,0,30.5583,0
6/1/2023 14:15,11.8543,0,11.143,0,30.5552,0
6/1/2023 14:20,11.8627,0,11.122,0,30.5606,0
6/1/2023 14:25,11.8466,0,11.118,0,30.575,0
6/1/2023 14:30,11.8579,0,11.111,0,30.5522,0
6/1/2023 14:35,11.8678,0,11.077,0,30.5536,0
