time (UTC),temp (degC),qc_temp,do (mg/L),qc_do,salinity (ppt),qc_salinity
5/29/2023 0:05,13.5077,0,11.226,0,30.9992,0
5/29/2023 0:10,13.3275,0,11.727,0,30.8312,0
5/29/2023 0:15,13.3304,0,11.945,0,30.7732,0
5/29/2023 0:20,14.2403,0,12.24,0,30.5566,0
5/29/2023 0:25,14.3455,0,12.357,0,30.5757,0
5/29/2023 0:30,14.2449,0,12.529,0,30.8798,0
5/29/2023 0:35,14.5312,0,12.725,0,30.7804,0
5/29/2023 0:40,14.0178,0,12.817,0,30.9547,0
5/29/2023 0:45,13.89,0,12.805,0,30.9521,0
5/29/2023 0:50,13.6447,0,12.836,0,31.133,0
5/29/2023 0:55,13.8171,0,13.004,0,30.8539,0
5/29/2023 1:00,13.6758,0,13.135,0,30.9763,0
5/29/2023 1:05,13.4505,0,13.225,0,30.9288,0
5/29/2023 1:10,13.7207,0,13.29,0,30.7839,0
5/29/2023 1:15,13.2001,0,13.285,0,30.9827,0
5/29/2023 1:20,13.2654,0,13.207,0,30.8275,0
5/29/2023 1:25,13.0675,0,12.931,0,30.7846,0
5/29/2023 1:30,13.171,0,12.778,0,30.7803,0
5/29/2023 1:35,13.282,0,12.701,0,30.5903,0
5/29/2023 1:40,12.6557,0,12.692,0,30.9519,0
5/29/2023 1:45,12.7213,0,12.747,0,30.8741,0
5/29/2023 1:50,12.6387,0,12.593,0,30.8865,0
5/29/2023 1:55,12.4146,0,12.428,0,30.9119,0
5/29/2023 2:00,12.2557,0,12.095,0,30.7942,0
5/29/2023 2:05,11.9841,0,11.581,0,30.7207,0
5/29/2023 2:10,11.5861,0,11.075,0,30.8258,0
5/29/2023 2:15,11.3982,0,10.629,0,30.7669,0
5/29/2023 2:20,11.1683,0,10.242,0,30.7833,0
5/29/2023 2:25,11.0936,0,9.931,0,30.7209,0
5/29/2023 2:30,11.004,0,9.669,0,30.7289,0
5/29/2023 2:35,10.9732,0,9.546,0,30.7349,0
5/29/2023 2:40,10.9364,0,9.468,0,30.7351,0
5/29/2023 2:45,10.9196,0,9.4,0,30.7364,0
5/29/2023 2:50,10.888,0,9.362,0,30.7505,0
5/29/2023 2:55,10.8193,0,9.32,0,30.7741,0
5/29/2023 3:00,10.825,0,9.283,0,30.7495,0
5/29/2023 3:05,10.7642,0,9.236,0,30.7648,0
5/29/2023 3:10,10.728,0,9.18,0,30.7702,0
5/29/2023 3:15,10.6559,0,9.119,0,30.802,0
5/29/2023 3:20,10.62,0,9.064,0,30.8201,0
5/29/2023 3:25,10.6006,0,9.017,0,30.822,0
5/29/2023 3:30,10.5747,0,8.975,0,30.8358,0
5/29/2023 3:35,10.5601,0,8.942,0,30.8412,0
