time (UTC),airtemp_avg (degC),qc_airtemp_avg,baro_pressure (hPa),qc_baro_pressure,rh (%),qc_rh,"rain (mm, unreliable)",qc_rain,winddir (deg from),qc_winddir,windspeed_avg (m/s),qc_windspeed_avg,windspeed_max (m/s),qc_windspeed_max,par_avg (?mol of photons m-2),qc_par_avg,lower_par (?mol of photons m-2),qc_lower_par,upper_par (unreliable),qc_upper_par
5/29/2023 0:00,12.74,0,1016.4,0,80.1,0,0,0,25.41,0,1.914,0,2.532,0,1160,0,3594,4,7999,4
5/29/2023 0:05,12.71,0,1016.4,0,79.42,0,0,0,25.58,0,1.981,0,2.499,0,1135,0,3586,4,7999,4
5/29/2023 0:10,12.66,0,1016.36,0,80,0,0,0,23.51,0,2.435,0,2.899,0,1110,0,3574,4,7999,4
5/29/2023 0:15,12.68,0,1016.297,0,80.3,0,0,0,26.67,0,2.527,0,2.965,0,1084,0,3564,4,7999,4
5/29/2023 0:20,12.66,0,1016.2,0,81.3,0,0,0,29.1,0,2.467,0,2.832,0,1055,0,3557,4,7999,4
5/29/2023 0:25,12.62,0,1016.19,0,82.4,0,0,0,31.22,0,2.391,0,2.799,0,1027,0,3545,4,7999,4
5/29/2023 0:30,12.6,0,1016.1,0,82.5,0,0,0,28.96,0,2.5,0,2.899,0,998,0,3536,4,7999,4
5/29/2023 0:35,12.59,0,1016.1,0,83.4,0,0,0,35.07,0,2.433,0,2.766,0,971,0,3525,4,7999,4
5/29/2023 0:40,12.79,0,1016,0,82.9,0,0,0,41.85,0,2.488,0,3.032,0,942,0,3510,4,7999,4
5/29/2023 0:45,12.85,0,1015.937,0,82.4,0,0,0,38.28,0,2.367,0,2.866,0,910,0,3496,4,7999,4
5/29/2023 0:50,12.84,0,1015.9,0,82.3,0,0,0,38.42,0,2.096,0,2.566,0,880,0,3481,4,7999,4
5/29/2023 0:55,13.04,0,1015.827,0,81.9,0,0,0,44.08,0,1.964,0,2.799,0,849,0,3467,4,7999,4
5/29/2023 1:00,13.26,0,1015.793,0,80.1,0,0,0,53.77,0,2.064,0,2.866,0,820,0,3451,4,7999,4
5/29/2023 1:05,13.55,0,1015.7,0,78.43,0,0,0,46.39,0,2.148,0,2.699,0,790.5,0,3437,4,7999,4
5/29/2023 1:10,13.84,0,1015.652,0,77.08,0,0,0,46.61,0,2.513,0,3.832,0,759.1,0,3413,4,7999,4
5/29/2023 1:15,13.94,0,1015.692,0,76.86,0,0,0,44.74,0,2.129,0,3.432,0,730.8,0,3404,4,7999,4
5/29/2023 1:20,14.22,0,1015.623,0,75.74,0,0,0,11.06,0,1.438,0,2.599,0,701.3,0,3391,4,7999,4
5/29/2023 1:25,14.8,0,1015.7,0,73.28,0,0,0,292.8,0,0.081,0,0.466,0,672.5,0,3389,4,7999,4
5/29/2023 1:30,15.25,0,1015.7,0,71.64,0,0,0,59.83,0,0.364,0,1.399,0,641.8,0,3361,4,7999,4
5/29/2023 1:35,15.13,0,1015.693,0,70.14,0,0,0,137.6,0,0.63,0,1.799,0,473,0,3286,4,7999,4
5/29/2023 1:40,15.15,0,1015.637,0,68.25,0,0,0,21.48,0,1.251,0,4.332,0,262.8,0,3196,4,7999,4
5/29/2023 1:45,15.04,0,1015.583,0,69.21,0,0,0,4.862,0,1.39,0,3.965,0,355.6,0,3239,4,7999,4
5/29/2023 1:50,14.86,0,1015.598,0,69.95,0,0,0,39.96,0,0.999,0,2.332,0,164.2,0,3183,4,7999,4
5/29/2023 1:55,14.74,0,1015.597,0,70.17,0,0,0,34.28,0,0.987,0,3.699,0,158.7,0,3197,4,7999,4
5/29/2023 2:00,14.6,0,1015.587,0,71.26,0,0,0,12.94,0,1.527,0,2.965,0,154.5,0,3215,4,7999,4
5/29/2023 2:05,14.56,0,1015.568,0,72.54,0,0,0,349,0,1.89,0,4.332,0,151,0,3229,4,7999,4
5/29/2023 2:10,14.44,0,1015.593,0,72.29,0,0,0,355.5,0,1.681,0,3.765,0,147.3,0,3240,4,7999,4
5/29/2023 2:15,14.25,0,1015.567,0,72.77,0,0,0,328.5,0,1.863,0,3.599,0,141.6,0,3239,4,7999,4
5/29/2023 2:20,14.08,0,1015.563,0,73.76,0,0,0,340.7,0,1.555,0,4.098,0,138.9,0,3245,4,7999,4
5/29/2023 2:25,13.98,0,1015.508,0,74.3,0,0,0,332.9,0,1.527,0,3.199,0,133.3,0,3247,4,7999,4
5/29/2023 2:30,13.83,0,1015.587,0,74.91,0,0,0,347.4,0,1.634,0,3.099,0,128.7,0,3249,4,7999,4
5/29/2023 2:35,13.75,0,1015.6,0,74.82,0,0,0,345.5,0,1.931,0,4.398,0,124,0,3247,4,7999,4
5/29/2023 2:40,13.58,0,1015.593,0,75.77,0,0,0,4.01,0,1.321,0,3.665,0,119.1,0,3244,4,7999,4
5/29/2023 2:45,13.43,0,1015.6,0,76.42,0,0,0,24.78,0,1.13,0,3.265,0,113.5,0,3236,4,7999,4
5/29/2023 2:50,13.23,0,1015.6,0,76.39,0,0,0,12.54,0,1.303,0,3.632,0,107.8,0,3233,4,7999,4
5/29/2023 2:55,12.99,0,1015.61,0,77,0,0,0,21.98,0,1.324,0,3.399,0,101.7,0,3229,4,7999,4
5/29/2023 3:00,12.76,0,1015.68,0,77.69,0,0,0,12.31,0,1.065,0,3.065,0,95.4,0,3225,4,7999,4
5/29/2023 3:05,12.61,0,1015.685,0,78.21,0,0,0,11.27,0,1.053,0,2.332,0,88.7,0,3220,4,7999,4
5/29/2023 3:10,12.5,0,1015.657,0,78.53,0,0,0,357.5,0,1.405,0,3.432,0,81.6,0,3224,4,7999,4
5/29/2023 3:15,12.4,0,1015.628,0,78.89,0,0,0,355.8,0,1.069,0,2.466,0,74.17,0,3217,4,7999,4
5/29/2023 3:20,12.34,0,1015.668,0,79.18,0,0,0,2.123,0,0.872,0,2.466,0,66.41,0,3213,4,7999,4
5/29/2023 3:25,12.29,0,1015.6,0,79.52,0,0,0,5.871,0,1.292,0,3.732,0,58.56,0,3209,4,7999,4
5/29/2023 3:30,12.23,0,1015.6,0,79.53,0,0,0,338.1,0,1.398,0,3.465,0,50.67,0,3206,4,7999,4
5/29/2023 3:35,12.12,0,1015.6,0,79.78,0,0,0,23.84,0,1.027,0,2.566,0,42.83,0,3199,4,7999,4
5/29/2023 3:40,11.99,0,1015.6,0,80,0,0,0,342.4,0,1.272,0,2.766,0,35.2,0,3193,4,7999,4
5/29/2023 3:45,11.86,0,1015.533,0,80.4,0,0,0,8.55,0,0.799,0,2.766,0,27.97,0,3186,4,7999,4
5/29/2023 3:50,11.75,0,1015.502,0,80.8,0,0,0,349.6,0,1.413,0,2.666,0,21.36,0,3183,4,7999,4
5/29/2023 3:55,11.63,0,1015.595,0,81.1,0,0,0,1.288,0,1.415,0,2.799,0,15.58,0,3179,4,7999,4
