"TOA5","CR6Series","CR6","11604","CR6.Std.09.02 RF4xx.01.01","CPU:230526_30s_sw_v1.CR6","51056","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","SEVolt_1","SEVolt_2","SEVoltage_1","SEVoltage_2"
"TS","RN","Volts","Deg C","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-07-11 10:45:00",65622,12.48,19.52,532.8,479,1321,1188
"2023-07-11 10:46:00",65623,12.5,19.94,523.7,475,1298,1178
"2023-07-11 10:47:00",65624,12.49,20.41,518.7,472,1286,1171
"2023-07-11 10:48:00",65625,12.49,20.9,510.6,469.9,1266,1166
"2023-07-11 10:49:00",65626,12.49,21.4,509.6,466.9,1263,1158
"2023-07-11 10:50:00",65627,12.5,21.91,507.6,461.9,1258,1146
"2023-07-11 10:51:00",65628,12.5,22.4,505.5,461.9,1253,1146
"2023-07-11 10:52:00",65629,12.5,22.87,504.6,462.8,1251,1146
"2023-07-11 10:53:00",65630,12.49,23.31,503.5,459.8,1248,1141
"2023-07-11 10:54:00",65631,12.49,23.73,502.5,457.8,1245,1136
"2023-07-11 10:55:00",65632,12.5,24.15,502.5,455.8,1246,1131
"2023-07-11 10:56:00",65633,12.5,24.53,487.4,455.8,1208,1131
"2023-07-11 10:57:00",65634,12.49,24.89,469.3,456.8,1163,1133
"2023-07-11 10:58:00",65635,12.49,25.22,471.3,454.8,1168,1128
"2023-07-11 10:59:00",65636,12.49,25.51,477.3,437.7,1183,1086
"2023-07-11 11:00:00",65637,12.5,25.75,477.3,432.6,1183,1073
"2023-07-11 11:01:00",65638,12.5,25.97,483.4,434.7,1198,1078
"2023-07-11 11:02:00",65639,12.5,26.21,490.4,433.6,1215,1076
"2023-07-11 11:03:00",65640,12.5,26.52,492.5,439.7,1221,1091
