datetime_pdt,datetime_raw,temp_c,depth_m,sal_psu,do_perc,do_mgl,p_h1,p_h2,battery_v,wiper_position_volt,path,tank
2023-05-29 15:25:00,2023-05-29 15:25:00,13.717,0.38,0.01,101.5,10.52,7.57,7.69,5.84,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 15:30:00,2023-05-29 15:30:00,14.568,0.499,27.72,117.9,10.12,8.21,8.01,5.86,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 15:35:00,2023-05-29 15:35:00,14.384,0.496,27.71,139.4,12.01,8.22,7.99,5.87,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 15:40:00,2023-05-29 15:40:00,14.402,0.495,27.73,141,12.14,8.22,7.99,5.88,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 15:45:00,2023-05-29 15:45:00,14.438,0.496,27.73,141.3,12.16,8.22,7.99,5.89,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 15:50:00,2023-05-29 15:50:00,14.417,0.494,27.72,141.3,12.16,8.22,8,5.88,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 15:55:00,2023-05-29 15:55:00,14.433,0.495,27.73,141.1,12.15,8.22,8,5.89,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:00:00,2023-05-29 16:00:00,14.475,0.494,27.74,142,12.21,8.22,8,5.88,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:05:00,2023-05-29 16:05:00,14.509,0.495,27.74,143.6,12.34,8.23,8,5.89,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:10:00,2023-05-29 16:10:00,14.529,0.495,27.74,144.2,12.38,8.23,8.01,5.89,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:15:00,2023-05-29 16:15:00,14.534,0.494,27.74,143.9,12.36,8.23,8.01,5.89,1.201,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:20:00,2023-05-29 16:20:00,14.496,0.494,27.74,144.7,12.43,8.24,8.02,5.89,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:25:00,2023-05-29 16:25:00,14.548,0.494,27.73,144.7,12.43,8.24,8.02,5.89,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:30:00,2023-05-29 16:30:00,14.55,0.494,27.71,145,12.45,8.24,8.02,5.89,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:35:00,2023-05-29 16:35:00,14.574,0.494,27.72,144.9,12.43,8.24,8.02,5.9,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:40:00,2023-05-29 16:40:00,14.567,0.494,27.72,144.8,12.43,8.24,8.01,5.89,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:45:00,2023-05-29 16:45:00,14.597,0.494,27.71,144.6,12.41,8.24,8.01,5.9,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:50:00,2023-05-29 16:50:00,14.571,0.494,27.71,144.3,12.38,8.24,8.01,5.9,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 16:55:00,2023-05-29 16:55:00,14.568,0.494,27.71,144.4,12.39,8.24,8.01,5.9,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 17:00:00,2023-05-29 17:00:00,14.549,0.493,27.71,145.3,12.48,8.24,8.01,5.9,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 17:05:00,2023-05-29 17:05:00,14.556,0.494,27.72,145.5,12.49,8.24,8.01,5.9,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 17:10:00,2023-05-29 17:10:00,14.534,0.494,27.72,145.5,12.5,8.24,8.01,5.9,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 17:15:00,2023-05-29 17:15:00,14.522,0.493,27.71,144.5,12.42,8.24,8.02,5.9,1.203,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 17:20:00,2023-05-29 17:20:00,14.447,0.493,27.73,145.7,12.53,8.25,8.02,5.9,1.208,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 17:25:00,2023-05-29 17:25:00,14.466,0.493,27.72,145.5,12.51,8.25,8.02,5.9,1.208,data/exo/timeseries/230612_17H104984_bare.csv,Bare
2023-05-29 17:30:00,2023-05-29 17:30:00,14.464,0.493,27.72,145.7,12.53,8.25,8.03,5.89,1.208,data/exo/timeseries/230612_17H104984_bare.csv,Bare
