datetime_pdt,datetime_raw,temp_c,depth_m,sal_psu,do_perc,do_mgl,p_h1,p_h2,tank,co2_ppm,sd_ppm,time
2023-05-29 15:25:00,2023-05-29T15:25:00Z,13.717,0.38,0.01,101.5,10.52,7.57,7.69,Bare,414,2.1213203435596424,15:25:00
2023-05-29 15:30:00,2023-05-29T15:30:00Z,14.568,0.499,27.72,117.9,10.12,8.21,8.01,Bare,409.76,11.277987409108066,15:30:00
2023-05-29 15:35:00,2023-05-29T15:35:00Z,14.384,0.496,27.71,139.4,12.01,8.22,7.99,Bare,364.2,14.75347416712417,15:35:00
2023-05-29 15:40:00,2023-05-29T15:40:00Z,14.402,0.495,27.73,141,12.14,8.22,7.99,Bare,334.3,8.523790236743269,15:40:00
2023-05-29 15:45:00,2023-05-29T15:45:00Z,14.438,0.496,27.73,141.3,12.16,8.22,7.99,Bare,313.56,5.774339789101418,15:45:00
2023-05-29 15:50:00,2023-05-29T15:50:00Z,14.417,0.494,27.72,141.3,12.16,8.22,8,Bare,295.22,3.105157000861629,15:50:00
2023-05-29 15:55:00,2023-05-29T15:55:00Z,14.433,0.495,27.73,141.1,12.15,8.22,8,Bare,284.53999999999996,4.380981625161202,15:55:00
2023-05-29 16:00:00,2023-05-29T16:00:00Z,14.475,0.494,27.74,142,12.21,8.22,8,Bare,278.9,1.4142135623730951,16:00:00
2023-05-29 16:05:00,2023-05-29T16:05:00Z,14.509,0.495,27.74,143.6,12.34,8.23,8,Bare,275.7,1.095445115010332,16:05:00
2023-05-29 16:10:00,2023-05-29T16:10:00Z,14.529,0.495,27.74,144.2,12.38,8.23,8.01,Bare,273.5,0.8944271909999159,16:10:00
2023-05-29 16:15:00,2023-05-29T16:15:00Z,14.534,0.494,27.74,143.9,12.36,8.23,8.01,Bare,275.88,1.2457929201917877,16:15:00
2023-05-29 16:20:00,2023-05-29T16:20:00Z,14.496,0.494,27.74,144.7,12.43,8.24,8.02,Bare,276.29999999999995,1.140175425099138,16:20:00
2023-05-29 16:25:00,2023-05-29T16:25:00Z,14.548,0.494,27.73,144.7,12.43,8.24,8.02,Bare,274.65999999999997,7.189088954798086,16:25:00
2023-05-29 16:30:00,2023-05-29T16:30:00Z,14.55,0.494,27.71,145,12.45,8.24,8.02,Bare,301.06,4.105240553244119,16:30:00
2023-05-29 16:35:00,2023-05-29T16:35:00Z,14.574,0.494,27.72,144.9,12.43,8.24,8.02,Bare,313.1,1.8708286933869709,16:35:00
2023-05-29 16:40:00,2023-05-29T16:40:00Z,14.567,0.494,27.72,144.8,12.43,8.24,8.01,Bare,320.8,0.8944271909999159,16:40:00
2023-05-29 16:45:00,2023-05-29T16:45:00Z,14.597,0.494,27.71,144.6,12.41,8.24,8.01,Bare,322.4,1.3038404810405295,16:45:00
2023-05-29 16:50:00,2023-05-29T16:50:00Z,14.571,0.494,27.71,144.3,12.38,8.24,8.01,Bare,314.72,4.077008707373568,16:50:00
2023-05-29 16:55:00,2023-05-29T16:55:00Z,14.568,0.494,27.71,144.4,12.39,8.24,8.01,Bare,299,4.358898943540674,16:55:00
2023-05-29 17:00:00,2023-05-29T17:00:00Z,14.549,0.493,27.71,145.3,12.48,8.24,8.01,Bare,287.56,3.900384596421242,17:00:00
2023-05-29 17:05:00,2023-05-29T17:05:00Z,14.556,0.494,27.72,145.5,12.49,8.24,8.01,Bare,274.47999999999996,3.4687173421885964,17:05:00
2023-05-29 17:10:00,2023-05-29T17:10:00Z,14.534,0.494,27.72,145.5,12.5,8.24,8.01,Bare,271.02,9.326950198215906,17:10:00
2023-05-29 17:15:00,2023-05-29T17:15:00Z,14.522,0.493,27.71,144.5,12.42,8.24,8.02,Bare,295.78,1.685823241030931,17:15:00
2023-05-29 17:20:00,2023-05-29T17:20:00Z,14.447,0.493,27.73,145.7,12.53,8.25,8.02,Bare,289.14,3.8836838182323863,17:20:00
2023-05-29 17:25:00,2023-05-29T17:25:00Z,14.466,0.493,27.72,145.5,12.51,8.25,8.02,Bare,280.06,2.910841802640588,17:25:00
2023-05-29 17:30:00,2023-05-29T17:30:00Z,14.464,0.493,27.72,145.7,12.53,8.25,8.03,Bare,273.8,1.4142135623730951,17:30:00
2023-05-29 17:35:00,2023-05-29T17:35:00Z,14.465,0.493,27.73,145.8,12.54,8.25,8.03,Bare,272.40000000000003,1.140175425099138,17:35:00
2023-05-29 17:40:00,2023-05-29T17:40:00Z,14.43,0.493,27.73,145.9,12.55,8.25,8.03,Bare,270.18,1.149782588144387,17:40:00
2023-05-29 17:45:00,2023-05-29T17:45:00Z,14.4,0.493,27.73,145.4,12.52,8.25,8.03,Bare,268.94,0.427784992724145,17:45:00
2023-05-29 17:50:00,2023-05-29T17:50:00Z,14.35,0.492,27.73,144.7,12.48,8.25,8.03,Bare,272.98,0.8136338242723147,17:50:00
2023-05-29 17:55:00,2023-05-29T17:55:00Z,14.344,0.492,27.75,144.5,12.45,8.25,8.03,Bare,276.8,3.1622776601683795,17:55:00
2023-05-29 18:00:00,2023-05-29T18:00:00Z,14.305,0.492,27.74,144.4,12.46,8.25,8.04,Bare,279.2,1.51657508881031,18:00:00
2023-05-29 18:05:00,2023-05-29T18:05:00Z,14.253,0.491,27.73,143.6,12.4,8.25,8.04,Bare,286.62,3.579385422108097,18:05:00
2023-05-29 18:10:00,2023-05-29T18:10:00Z,14.209,0.491,27.73,144.8,12.52,8.26,8.05,Bare,295.29999999999995,2.9664793948382653,18:10:00
2023-05-29 18:15:00,2023-05-29T18:15:00Z,14.177,0.49,27.75,143.8,12.44,8.26,8.05,Bare,302.9,1,18:15:00
